student_number,first_name,last_name,middle_name,email,program_code,year_level,section_char
2302068,Ella,Espiritu,C.,ella.espiritu2302068@ccs.edu.ph,BSCS,3,D
2203019,Orly,Ocampo,E.,orly.ocampo2203019@ccs.edu.ph,BSIS,4,B
2403011,Dana,Zulueta,A.,dana.zulueta2403011@ccs.edu.ph,BSIS,2,A
2502040,Xyza,Javier,,xyza.javier2502040@ccs.edu.ph,BSCS,1,C
2401117,Nena,Santiago,A.,nena.santiago2401117@ccs.edu.ph,BSIT,2,D
2402076,Dana,Salazar,H.,dana.salazar2402076@ccs.edu.ph,BSCS,2,D
2202055,Faye,Mercado,H.,faye.mercado2202055@ccs.edu.ph,BSCS,4,D
2402034,Wilma,Villanueva,E.,wilma.villanueva2402034@ccs.edu.ph,BSCS,2,B
2501074,Hannah,Suarez,,hannah.suarez2501074@ccs.edu.ph,BSIT,1,C
2202068,Carlo,Guzman,F.,carlo.guzman2202068@ccs.edu.ph,BSCS,4,D
2302057,Czar,Salazar,K.,czar.salazar2302057@ccs.edu.ph,BSCS,3,C
2502019,Kiko,Ortega,P.,kiko.ortega2502019@ccs.edu.ph,BSCS,1,A
2202037,Jana,Delos Reyes,F.,jana.delosreyes2202037@ccs.edu.ph,BSCS,4,C
2403003,Wren,Delos Reyes,B.,wren.delosreyes2403003@ccs.edu.ph,BSIS,2,A
2501058,Jill,Castro,,jill.castro2501058@ccs.edu.ph,BSIT,1,B
2203002,Hazel,Domingo,,hazel.domingo2203002@ccs.edu.ph,BSIS,4,A
2201004,Queenie,Soriano,,queenie.soriano2201004@ccs.edu.ph,BSIT,4,A
2303027,Noel,Espiritu,,noel.espiritu2303027@ccs.edu.ph,BSIS,3,C
2301037,Cris,Ferrer,E.,cris.ferrer2301037@ccs.edu.ph,BSIT,3,B
2301079,Kyla,Chua,,kyla.chua2301079@ccs.edu.ph,BSIT,3,C
2301043,Primo,Roxas,F.,primo.roxas2301043@ccs.edu.ph,BSIT,3,B
2401097,Ella,Guzman,J.,ella.guzman2401097@ccs.edu.ph,BSIT,2,D
2303023,Rina,Santiago,N.,rina.santiago2303023@ccs.edu.ph,BSIS,3,B
2501084,Hana,Lucero,C.,hana.lucero2501084@ccs.edu.ph,BSIT,1,C
2203025,Olive,Castillo,,olive.castillo2203025@ccs.edu.ph,BSIS,4,C
2402018,Vina,Tolentino,C.,vina.tolentino2402018@ccs.edu.ph,BSCS,2,A
2401055,Brix,Yap,O.,brix.yap2401055@ccs.edu.ph,BSIT,2,B
2401088,Hazel,Villanueva,,hazel.villanueva2401088@ccs.edu.ph,BSIT,2,C
2401121,Belle,Javier,H.,belle.javier2401121@ccs.edu.ph,BSIT,2,D
2401028,Kyla,Bautista,M.,kyla.bautista2401028@ccs.edu.ph,BSIT,2,A
2202032,Tristan,Reyes,G.,tristan.reyes2202032@ccs.edu.ph,BSCS,4,B
2501026,Luis,Umali,O.,luis.umali2501026@ccs.edu.ph,BSIT,1,A
2301102,Andrei,Navarro,M.,andrei.navarro2301102@ccs.edu.ph,BSIT,3,D
2401098,Manny,Vargas,P.,manny.vargas2401098@ccs.edu.ph,BSIT,2,D
2303033,Emilio,Magno,F.,emilio.magno2303033@ccs.edu.ph,BSIS,3,C
2402014,Val,Delos Reyes,,val.delosreyes2402014@ccs.edu.ph,BSCS,2,A
2201036,Jasmine,Espiritu,D.,jasmine.espiritu2201036@ccs.edu.ph,BSIT,4,B
2203036,Queenie,Evangelista,,queenie.evangelista2203036@ccs.edu.ph,BSIS,4,C
2402053,Manny,Zamora,J.,manny.zamora2402053@ccs.edu.ph,BSCS,2,C
2501124,Zoe,Alcantara,J.,zoe.alcantara2501124@ccs.edu.ph,BSIT,1,D
2403022,Olive,Enriquez,,olive.enriquez2403022@ccs.edu.ph,BSIS,2,B
2201026,Ivan,Jimenez,,ivan.jimenez2201026@ccs.edu.ph,BSIT,4,A
2302071,Tala,Abella,C.,tala.abella2302071@ccs.edu.ph,BSCS,3,D
2401063,Karl,Evangelista,P.,karl.evangelista2401063@ccs.edu.ph,BSIT,2,C
2502055,Yael,Magno,E.,yael.magno2502055@ccs.edu.ph,BSCS,1,C
2301096,Tala,Javier,,tala.javier2301096@ccs.edu.ph,BSIT,3,D
2501086,Ella,Zulueta,A.,ella.zulueta2501086@ccs.edu.ph,BSIT,1,C
2402036,Rhea,Umali,H.,rhea.umali2402036@ccs.edu.ph,BSCS,2,B
2202019,Uma,Ibarra,,uma.ibarra2202019@ccs.edu.ph,BSCS,4,B
2303019,Hannah,Cruz,,hannah.cruz2303019@ccs.edu.ph,BSIS,3,B
2501033,Wilma,Galang,A.,wilma.galang2501033@ccs.edu.ph,BSIT,1,B
2402009,Xyza,Gonzales,,xyza.gonzales2402009@ccs.edu.ph,BSCS,2,A
2401002,Uly,Evangelista,H.,uly.evangelista2401002@ccs.edu.ph,BSIT,2,A
2301097,Nina,Magno,L.,nina.magno2301097@ccs.edu.ph,BSIT,3,D
2201077,Zach,Garcia,B.,zach.garcia2201077@ccs.edu.ph,BSIT,4,C
2502049,Grace,Yap,L.,grace.yap2502049@ccs.edu.ph,BSCS,1,C
2401122,Grace,Alcantara,,grace.alcantara2401122@ccs.edu.ph,BSIT,2,D
2401110,Oscar,Vargas,A.,oscar.vargas2401110@ccs.edu.ph,BSIT,2,D
2401075,Jana,Garcia,J.,jana.garcia2401075@ccs.edu.ph,BSIT,2,C
2303035,Franz,Reyes,,franz.reyes2303035@ccs.edu.ph,BSIS,3,C
2203034,Elijah,Valencia,,elijah.valencia2203034@ccs.edu.ph,BSIS,4,C
2401073,Marco,Ferrer,,marco.ferrer2401073@ccs.edu.ph,BSIT,2,C
2302023,Luis,Bello,K.,luis.bello2302023@ccs.edu.ph,BSCS,3,B
2302021,Wilma,Salazar,B.,wilma.salazar2302021@ccs.edu.ph,BSCS,3,B
2401081,Tala,Pascual,J.,tala.pascual2401081@ccs.edu.ph,BSIT,2,C
2301034,Carlo,Umali,,carlo.umali2301034@ccs.edu.ph,BSIT,3,B
2401090,Andrei,Yap,P.,andrei.yap2401090@ccs.edu.ph,BSIT,2,C
2503014,Aaron,Chua,C.,aaron.chua2503014@ccs.edu.ph,BSIS,1,B
2303015,Kyla,Ocampo,,kyla.ocampo2303015@ccs.edu.ph,BSIS,3,B
2202017,Nena,Dela Cruz,,nena.delacruz2202017@ccs.edu.ph,BSCS,4,A
2301111,Nathan,Aquino,D.,nathan.aquino2301111@ccs.edu.ph,BSIT,3,D
2402032,Xian,Dizon,N.,xian.dizon2402032@ccs.edu.ph,BSCS,2,B
2301039,Noel,Chua,,noel.chua2301039@ccs.edu.ph,BSIT,3,B
2301055,Luis,Aquino,,luis.aquino2301055@ccs.edu.ph,BSIT,3,B
2202022,Yuri,Aquino,O.,yuri.aquino2202022@ccs.edu.ph,BSCS,4,B
2502021,Nina,Bello,,nina.bello2502021@ccs.edu.ph,BSCS,1,B
2401095,Ian,Mercado,,ian.mercado2401095@ccs.edu.ph,BSIT,2,D
2401012,Uly,Chua,N.,uly.chua2401012@ccs.edu.ph,BSIT,2,A
2303014,Ysa,Ortega,F.,ysa.ortega2303014@ccs.edu.ph,BSIS,3,B
2502056,Lea,Garcia,,lea.garcia2502056@ccs.edu.ph,BSCS,1,C
2501057,Cleo,Yap,B.,cleo.yap2501057@ccs.edu.ph,BSIT,1,B
2503037,Brix,Torres,F.,brix.torres2503037@ccs.edu.ph,BSIS,1,C
2402041,Elijah,Zamora,A.,elijah.zamora2402041@ccs.edu.ph,BSCS,2,C
2502045,Lena,Padilla,P.,lena.padilla2502045@ccs.edu.ph,BSCS,1,C
2303006,Iris,Velasco,H.,iris.velasco2303006@ccs.edu.ph,BSIS,3,A
2501102,Czar,Pascual,H.,czar.pascual2501102@ccs.edu.ph,BSIT,1,D
2502046,Sheila,Torres,G.,sheila.torres2502046@ccs.edu.ph,BSCS,1,C
2202067,Faith,Castro,O.,faith.castro2202067@ccs.edu.ph,BSCS,4,D
2401114,Ian,Alcantara,,ian.alcantara2401114@ccs.edu.ph,BSIT,2,D
2401123,Ysa,Suarez,E.,ysa.suarez2401123@ccs.edu.ph,BSIT,2,D
2501078,Hazel,Halili,K.,hazel.halili2501078@ccs.edu.ph,BSIT,1,C
2301091,Quinn,Concepcion,,quinn.concepcion2301091@ccs.edu.ph,BSIT,3,C
2302044,Diego,Enriquez,N.,diego.enriquez2302044@ccs.edu.ph,BSCS,3,C
2402056,Hugo,Torres,N.,hugo.torres2402056@ccs.edu.ph,BSCS,2,C
2203042,Belle,Ramos,,belle.ramos2203042@ccs.edu.ph,BSIS,4,D
2503020,Alec,Suarez,,alec.suarez2503020@ccs.edu.ph,BSIS,1,B
2303016,Dana,Delos Reyes,,dana.delosreyes2303016@ccs.edu.ph,BSIS,3,B
2201111,Hugo,Alcantara,,hugo.alcantara2201111@ccs.edu.ph,BSIT,4,D
2201096,Alec,Pascual,L.,alec.pascual2201096@ccs.edu.ph,BSIT,4,D
2401031,Yael,Legaspi,A.,yael.legaspi2401031@ccs.edu.ph,BSIT,2,A
2201104,Jasmine,Enriquez,,jasmine.enriquez2201104@ccs.edu.ph,BSIT,4,D
2402046,Rina,Roxas,H.,rina.roxas2402046@ccs.edu.ph,BSCS,2,C
2501031,Gabriel,Aquino,,gabriel.aquino2501031@ccs.edu.ph,BSIT,1,A
2302034,Rico,Umali,K.,rico.umali2302034@ccs.edu.ph,BSCS,3,B
2301021,Faith,Ibarra,J.,faith.ibarra2301021@ccs.edu.ph,BSIT,3,A
2502035,Nena,Estrada,,nena.estrada2502035@ccs.edu.ph,BSCS,1,B
2202041,Santi,Garcia,O.,santi.garcia2202041@ccs.edu.ph,BSCS,4,C
2301065,Queenie,Tolentino,G.,queenie.tolentino2301065@ccs.edu.ph,BSIT,3,C
2202065,Thea,Gonzales,,thea.gonzales2202065@ccs.edu.ph,BSCS,4,D
2503016,Sofia,Abella,E.,sofia.abella2503016@ccs.edu.ph,BSIS,1,B
2201041,Aaron,Perez,H.,aaron.perez2201041@ccs.edu.ph,BSIT,4,B
2503013,Ella,Magno,E.,ella.magno2503013@ccs.edu.ph,BSIS,1,A
2301042,Zach,Lucero,L.,zach.lucero2301042@ccs.edu.ph,BSIT,3,B
2202063,Bianca,Abella,P.,bianca.abella2202063@ccs.edu.ph,BSCS,4,D
2301120,Diego,Cruz,C.,diego.cruz2301120@ccs.edu.ph,BSIT,3,D
2201021,Orly,Villanueva,F.,orly.villanueva2201021@ccs.edu.ph,BSIT,4,A
2201050,Franz,Suarez,,franz.suarez2201050@ccs.edu.ph,BSIT,4,B
2502070,Sheila,Ocampo,F.,sheila.ocampo2502070@ccs.edu.ph,BSCS,1,D
2501046,Bianca,Zulueta,G.,bianca.zulueta2501046@ccs.edu.ph,BSIT,1,B
2503001,Karl,Robles,F.,karl.robles2503001@ccs.edu.ph,BSIS,1,A
2403001,Pam,Herrera,,pam.herrera2403001@ccs.edu.ph,BSIS,2,A
2302065,Vera,Corpuz,F.,vera.corpuz2302065@ccs.edu.ph,BSCS,3,D
2302038,Karl,Espiritu,C.,karl.espiritu2302038@ccs.edu.ph,BSCS,3,B
2201103,Zach,Guzman,,zach.guzman2201103@ccs.edu.ph,BSIT,4,D
2201018,Franz,Gonzales,K.,franz.gonzales2201018@ccs.edu.ph,BSIT,4,A
2501118,Rhea,Corpuz,C.,rhea.corpuz2501118@ccs.edu.ph,BSIT,1,D
2302056,Miko,Santos,K.,miko.santos2302056@ccs.edu.ph,BSCS,3,C
2501040,Zara,Ibarra,D.,zara.ibarra2501040@ccs.edu.ph,BSIT,1,B
2402067,Thea,Ibarra,M.,thea.ibarra2402067@ccs.edu.ph,BSCS,2,D
2203010,Santi,Tan,,santi.tan2203010@ccs.edu.ph,BSIS,4,A
2502025,Jasmine,Tan,I.,jasmine.tan2502025@ccs.edu.ph,BSCS,1,B
2301044,Gio,Javier,J.,gio.javier2301044@ccs.edu.ph,BSIT,3,B
2403029,Nena,Garcia,,nena.garcia2403029@ccs.edu.ph,BSIS,2,C
2401062,Zara,Cabrera,G.,zara.cabrera2401062@ccs.edu.ph,BSIT,2,B
2401052,Belle,Lim,,belle.lim2401052@ccs.edu.ph,BSIT,2,B
2301071,Tristan,Evangelista,A.,tristan.evangelista2301071@ccs.edu.ph,BSIT,3,C
2301083,Maya,Bello,,maya.bello2301083@ccs.edu.ph,BSIT,3,C
2302028,Olive,Cruz,E.,olive.cruz2302028@ccs.edu.ph,BSCS,3,B
2302043,Nina,Lucero,,nina.lucero2302043@ccs.edu.ph,BSCS,3,C
2201030,Quinn,Villanueva,M.,quinn.villanueva2201030@ccs.edu.ph,BSIT,4,A
2402021,Thea,Roxas,,thea.roxas2402021@ccs.edu.ph,BSCS,2,B
2201120,Gio,Corpuz,I.,gio.corpuz2201120@ccs.edu.ph,BSIT,4,D
2401034,Wilma,Ibarra,,wilma.ibarra2401034@ccs.edu.ph,BSIT,2,B
2302076,Vince,Garcia,M.,vince.garcia2302076@ccs.edu.ph,BSCS,3,D
2302013,Carlo,Velasco,J.,carlo.velasco2302013@ccs.edu.ph,BSCS,3,A
2502060,Uriel,Bernardo,,uriel.bernardo2502060@ccs.edu.ph,BSCS,1,D
2502068,Paolo,Domingo,C.,paolo.domingo2502068@ccs.edu.ph,BSCS,1,D
2402064,Miko,Reyes,,miko.reyes2402064@ccs.edu.ph,BSCS,2,D
2502064,Queenie,Hidalgo,,queenie.hidalgo2502064@ccs.edu.ph,BSCS,1,D
2302064,Yael,Perez,,yael.perez2302064@ccs.edu.ph,BSCS,3,D
2201070,Xander,Robles,,xander.robles2201070@ccs.edu.ph,BSIT,4,C
2501043,Renz,Lim,E.,renz.lim2501043@ccs.edu.ph,BSIT,1,B
2301074,Iris,Enriquez,D.,iris.enriquez2301074@ccs.edu.ph,BSIT,3,C
2501022,Kian,Ibarra,B.,kian.ibarra2501022@ccs.edu.ph,BSIT,1,A
2403007,Vera,Fuentes,H.,vera.fuentes2403007@ccs.edu.ph,BSIS,2,A
2301008,Toni,Hidalgo,M.,toni.hidalgo2301008@ccs.edu.ph,BSIT,3,A
2201121,Quinn,Fuentes,C.,quinn.fuentes2201121@ccs.edu.ph,BSIT,4,D
2203013,Cris,Bernardo,E.,cris.bernardo2203013@ccs.edu.ph,BSIS,4,B
2501076,Zoe,Guzman,H.,zoe.guzman2501076@ccs.edu.ph,BSIT,1,C
2502053,Olive,Javier,I.,olive.javier2502053@ccs.edu.ph,BSCS,1,C
2501125,Kiko,Padilla,K.,kiko.padilla2501125@ccs.edu.ph,BSIT,1,D
2301080,Karl,Ibarra,C.,karl.ibarra2301080@ccs.edu.ph,BSIT,3,C
2203017,Rhea,Hidalgo,H.,rhea.hidalgo2203017@ccs.edu.ph,BSIS,4,B
2202059,Lena,Robles,P.,lena.robles2202059@ccs.edu.ph,BSCS,4,D
2503032,Karl,Guerrero,,karl.guerrero2503032@ccs.edu.ph,BSIS,1,C
2303039,Luis,Salazar,M.,luis.salazar2303039@ccs.edu.ph,BSIS,3,D
2401070,Paula,Ferrer,F.,paula.ferrer2401070@ccs.edu.ph,BSIT,2,C
2503038,Paula,Reyes,A.,paula.reyes2503038@ccs.edu.ph,BSIS,1,C
2202006,Belle,Villanueva,,belle.villanueva2202006@ccs.edu.ph,BSCS,4,A
2301067,Bianca,Macaraeg,E.,bianca.macaraeg2301067@ccs.edu.ph,BSIT,3,C
2303044,Vince,Salazar,,vince.salazar2303044@ccs.edu.ph,BSIS,3,D
2402005,Lara,Vargas,F.,lara.vargas2402005@ccs.edu.ph,BSCS,2,A
2401011,Hugo,Velasco,K.,hugo.velasco2401011@ccs.edu.ph,BSIT,2,A
2503027,Carlo,Legaspi,,carlo.legaspi2503027@ccs.edu.ph,BSIS,1,C
2501099,Uma,Garcia,G.,uma.garcia2501099@ccs.edu.ph,BSIT,1,D
2402002,Grace,Manalo,A.,grace.manalo2402002@ccs.edu.ph,BSCS,2,A
2303009,Vina,Delos Reyes,M.,vina.delosreyes2303009@ccs.edu.ph,BSIS,3,A
2302066,Kian,Alcantara,,kian.alcantara2302066@ccs.edu.ph,BSCS,3,D
2502063,Dana,Mendoza,,dana.mendoza2502063@ccs.edu.ph,BSCS,1,D
2201097,Val,Chua,E.,val.chua2201097@ccs.edu.ph,BSIT,4,D
2301082,Wilma,Velasco,,wilma.velasco2301082@ccs.edu.ph,BSIT,3,C
2201116,Wendell,Lucero,B.,wendell.lucero2201116@ccs.edu.ph,BSIT,4,D
2501011,Wilma,Castro,L.,wilma.castro2501011@ccs.edu.ph,BSIT,1,A
2303002,Sofia,Estrada,M.,sofia.estrada2303002@ccs.edu.ph,BSIS,3,A
2501063,Ella,Alcantara,,ella.alcantara2501063@ccs.edu.ph,BSIT,1,B
2401032,Karl,Abella,,karl.abella2401032@ccs.edu.ph,BSIT,2,B
2401108,Zoe,Alcantara,,zoe.alcantara2401108@ccs.edu.ph,BSIT,2,D
2401030,Czar,Yap,,czar.yap2401030@ccs.edu.ph,BSIT,2,A
2201040,Xian,Soriano,B.,xian.soriano2201040@ccs.edu.ph,BSIT,4,B
2301084,Manny,Aquino,G.,manny.aquino2301084@ccs.edu.ph,BSIT,3,C
2503035,Renz,Evangelista,,renz.evangelista2503035@ccs.edu.ph,BSIS,1,C
2502012,Franz,Tolentino,,franz.tolentino2502012@ccs.edu.ph,BSCS,1,A
2303036,Faye,Castillo,D.,faye.castillo2303036@ccs.edu.ph,BSIS,3,C
2201122,Maya,Soriano,E.,maya.soriano2201122@ccs.edu.ph,BSIT,4,D
2202013,Queenie,Concepcion,O.,queenie.concepcion2202013@ccs.edu.ph,BSCS,4,A
2401116,Paula,Bautista,H.,paula.bautista2401116@ccs.edu.ph,BSIT,2,D
2403033,Wren,Bautista,O.,wren.bautista2403033@ccs.edu.ph,BSIS,2,C
2201085,Karl,Abella,,karl.abella2201085@ccs.edu.ph,BSIT,4,C
2202051,Nena,Espiritu,,nena.espiritu2202051@ccs.edu.ph,BSCS,4,C
2203012,Faith,Aguilar,I.,faith.aguilar2203012@ccs.edu.ph,BSIS,4,A
2302006,Primo,Ocampo,C.,primo.ocampo2302006@ccs.edu.ph,BSCS,3,A
2501110,Queenie,Cabrera,I.,queenie.cabrera2501110@ccs.edu.ph,BSIT,1,D
2502058,Gab,Manalo,G.,gab.manalo2502058@ccs.edu.ph,BSCS,1,D
2402042,Emilio,Padilla,,emilio.padilla2402042@ccs.edu.ph,BSCS,2,C
2502071,Belle,Valencia,B.,belle.valencia2502071@ccs.edu.ph,BSCS,1,D
2202030,Uriel,Soriano,E.,uriel.soriano2202030@ccs.edu.ph,BSCS,4,B
2201078,Olive,Guerrero,P.,olive.guerrero2201078@ccs.edu.ph,BSIT,4,C
2501082,Bea,Fajardo,D.,bea.fajardo2501082@ccs.edu.ph,BSIT,1,C
2403009,Wendell,Corpuz,H.,wendell.corpuz2403009@ccs.edu.ph,BSIS,2,A
2501035,Wendell,Lacson,,wendell.lacson2501035@ccs.edu.ph,BSIT,1,B
2503011,Felix,Mercado,,felix.mercado2503011@ccs.edu.ph,BSIS,1,A
2501095,Ella,Alcantara,A.,ella.alcantara2501095@ccs.edu.ph,BSIT,1,C
2501113,Wren,Halili,I.,wren.halili2501113@ccs.edu.ph,BSIT,1,D
2203043,Bianca,Yap,L.,bianca.yap2203043@ccs.edu.ph,BSIS,4,D
2202036,Dani,Delos Reyes,,dani.delosreyes2202036@ccs.edu.ph,BSCS,4,B
2501038,Dex,Fuentes,G.,dex.fuentes2501038@ccs.edu.ph,BSIT,1,B
2201043,Dana,Yap,,dana.yap2201043@ccs.edu.ph,BSIT,4,B
2401124,Ivan,Cabrera,N.,ivan.cabrera2401124@ccs.edu.ph,BSIT,2,D
2202061,Yna,Ramos,O.,yna.ramos2202061@ccs.edu.ph,BSCS,4,D
2403015,Sam,Cabrera,,sam.cabrera2403015@ccs.edu.ph,BSIS,2,B
2301119,Jasmine,Umali,B.,jasmine.umali2301119@ccs.edu.ph,BSIT,3,D
2501079,Hana,Padilla,K.,hana.padilla2501079@ccs.edu.ph,BSIT,1,C
2201016,Jasmine,Ramos,M.,jasmine.ramos2201016@ccs.edu.ph,BSIT,4,A
2501080,Emilio,Aguilar,J.,emilio.aguilar2501080@ccs.edu.ph,BSIT,1,C
2401111,Hazel,Zulueta,B.,hazel.zulueta2401111@ccs.edu.ph,BSIT,2,D
2202012,Sheila,Tolentino,F.,sheila.tolentino2202012@ccs.edu.ph,BSCS,4,A
2201063,Luis,Yap,,luis.yap2201063@ccs.edu.ph,BSIT,4,C
2201094,Elijah,Lucero,,elijah.lucero2201094@ccs.edu.ph,BSIT,4,D
2301109,Ella,Abella,O.,ella.abella2301109@ccs.edu.ph,BSIT,3,D
2303026,Cris,Legaspi,M.,cris.legaspi2303026@ccs.edu.ph,BSIS,3,C
2302008,Rina,Macaraeg,,rina.macaraeg2302008@ccs.edu.ph,BSCS,3,A
2502042,Kian,Tolentino,,kian.tolentino2502042@ccs.edu.ph,BSCS,1,C
2401015,Wendell,Uy,H.,wendell.uy2401015@ccs.edu.ph,BSIT,2,A
2203009,Kyla,Aguilar,,kyla.aguilar2203009@ccs.edu.ph,BSIS,4,A
2302033,Gabriel,Castro,C.,gabriel.castro2302033@ccs.edu.ph,BSCS,3,B
2401066,Cris,Vargas,J.,cris.vargas2401066@ccs.edu.ph,BSIT,2,C
2201090,Renz,Ong,N.,renz.ong2201090@ccs.edu.ph,BSIT,4,C
2301012,Grace,Reyes,N.,grace.reyes2301012@ccs.edu.ph,BSIT,3,A
2402016,Toni,Robles,P.,toni.robles2402016@ccs.edu.ph,BSCS,2,A
2402026,Belle,Fajardo,O.,belle.fajardo2402026@ccs.edu.ph,BSCS,2,B
2503024,Uma,Herrera,,uma.herrera2503024@ccs.edu.ph,BSIS,1,B
2201052,Franz,Magno,N.,franz.magno2201052@ccs.edu.ph,BSIT,4,B
